fecha,clae6,puestos
2007-02-01,12600,2159
2007-02-01,12701,3384
2007-02-01,12709,410
2007-02-01,12800,142
2007-02-01,12900,611
2007-02-01,13011,1120
2007-02-01,13012,419
2007-02-01,13013,270
2007-02-01,13019,1290
2007-02-01,13020,1018
2007-02-01,14113,58465
2007-02-01,14114,6264
2007-02-01,14115,1365
2007-02-01,14121,1055
2007-02-01,14211,376
2007-02-01,14221,1314
2007-02-01,14410,4010
2007-02-01,14420,38
2007-02-01,14430,49
2007-02-01,14440,-99
2007-02-01,14510,1876
2007-02-01,14520,171
2007-02-01,14610,10876
2007-02-01,14620,73
2007-02-01,14710,491
2007-02-01,14720,28
2007-02-01,14810,3406
2007-02-01,14820,3982
2007-02-01,14910,893
2007-02-01,14920,15
2007-02-01,14930,100
2007-02-01,14990,560
2007-02-01,16111,2402
2007-02-01,16112,1082
2007-02-01,16113,712
2007-02-01,16119,1835
2007-02-01,16120,3950
2007-02-01,16130,5854
2007-02-01,16140,232
2007-02-01,16150,141
2007-02-01,16190,4447
2007-02-01,16210,172
2007-02-01,16220,351
2007-02-01,16230,-99
2007-02-01,16291,565
2007-02-01,16292,244
2007-02-01,16299,994
2007-02-01,17010,41
2007-02-01,17020,44
2007-02-01,21010,1037
2007-02-01,21020,188
2007-02-01,21030,349
2007-02-01,22010,2750
2007-02-01,22020,1855
2007-02-01,24010,2861
2007-02-01,24020,1959
2007-02-01,31110,6223
2007-02-01,31120,9111
2007-02-01,31130,-99
2007-02-01,31200,310
2007-02-01,31300,257
2007-02-01,32000,134
2007-02-01,51000,195
2007-02-01,61000,8199
2007-02-01,62000,889
2007-02-01,71000,-99
2007-02-01,72910,1477
2007-02-01,72990,3995
2007-02-01,81100,457
2007-02-01,81200,779
2007-02-01,81300,3932
2007-02-01,81400,484
2007-02-01,89110,-99
2007-02-01,89120,636
2007-02-01,89200,55
2007-02-01,89300,951
2007-02-01,89900,2687
2007-02-01,91000,39413
2007-02-01,99000,841
2007-02-01,101011,18564
2007-02-01,101012,12418
2007-02-01,101013,376
2007-02-01,101020,13904
2007-02-01,101030,11037
2007-02-01,101040,2850
2007-02-01,101091,1385
2007-02-01,101099,3288
2007-02-01,102001,9126
2007-02-01,102002,352
2007-02-01,102003,294
2007-02-01,103011,8813
2007-02-01,103012,1454
2007-02-01,103020,6012
2007-02-01,103030,2285
2007-02-01,103091,1835
2007-02-01,103099,8468
2007-02-01,104011,10408
2007-02-01,104012,1656
2007-02-01,104013,5228
2007-02-01,104020,52
2007-02-01,105010,10979
2007-02-01,105020,6601
2007-02-01,105030,5517
2007-02-01,105090,6489
2007-02-01,106110,6411
2007-02-01,106120,1996
2007-02-01,106131,1257
2007-02-01,106139,550
2007-02-01,106200,662
2007-02-01,107110,9172
2007-02-01,107121,11289
2007-02-01,107129,15996
2007-02-01,107200,10432
2007-02-01,107301,2812
2007-02-01,107309,12587
2007-02-01,107410,6152
2007-02-01,107420,1542
2007-02-01,107500,387
2007-02-01,107911,2938
2007-02-01,107912,850
2007-02-01,107920,2504
2007-02-01,107930,5488
2007-02-01,107991,882
2007-02-01,107992,326
2007-02-01,107999,15574
2007-02-01,108000,4119
2007-02-01,109000,190
2007-02-01,110100,1710
2007-02-01,110211,774
2007-02-01,110212,21749
2007-02-01,110290,689
2007-02-01,110300,6201
2007-02-01,110411,3962
2007-02-01,110412,5151
2007-02-01,110420,8490
2007-02-01,110491,697
2007-02-01,110492,7726
2007-02-01,120010,1905
2007-02-01,120091,3981
2007-02-01,120099,1937
